service_date,unique_patients,hospital_ammount,non_hospital_ammount,hospital_unique_patients,unique_service_codes,high_cost_proportion,service_code_hhi,mean_ammount,total_racords,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,EMA_7,EMA_14,total_amount_net
2022-04-03,302,72670.75,1641403.96,8,299,0.2067183462532299,0.0089790128649972,1476.3778725236864,1161,2610727.827297386,2395672.3891910124,2356375.413760967,2806997.8585714283,2754708.4857142856,2523795.245684739,2611530.9368199795,1714074.71
2022-04-04,491,187090.61,2971837.46,11,434,0.2474066390041494,0.0074621003426249,1638.4481690871369,1928,2012959.082432462,2698788.619460675,2413599.687990284,2786127.4285714286,2789552.7107142857,2682578.451763841,2684517.326280096,3158928.07
2022-04-05,459,181050.55,2649045.46,11,421,0.235225955967555,0.0072908512572354,1639.6848261877171,1726,2776938.4074774873,2812882.1563071166,2507865.7488512383,2755988.3971428573,2782269.3528571427,2719457.84132293,2703927.8416522555,2830096.01
2022-04-06,472,254623.99,2600979.54,13,447,0.2457277548615203,0.007575849648362,1682.736317030053,1697,2812376.809159162,2954475.400871411,2610052.3094996223,2701408.631428571,2766963.0457142857,2753494.263492232,2724151.288625589,2855603.53
2022-04-07,476,222362.21,2747497.34,16,416,0.2523584905660377,0.0072910177109291,1751.0964327830188,1696,2841194.623053054,3003255.7405809406,2690958.300784408,2682700.507142857,2760879.0664285715,2807585.5851192153,2756912.4208332417,2969859.55
2022-04-08,508,277820.96,2841963.66,16,456,0.2494588744588744,0.0069391737411217,1688.1951406926407,1848,2926971.2410176843,2929123.2837206274,2762665.0081209787,2731118.5428571426,2763339.0257142857,2885635.3438394563,2805295.4200045345,3119784.62
2022-04-09,412,124370.51,2390845.75,8,361,0.2556390977443609,0.0087933435776728,1719.2182228298016,1463,3055513.4936725614,2775909.959147085,2711245.682886942,2737651.8214285714,2765864.564285714,2793030.5728795524,2766618.1714553167,2515216.26
2022-04-10,331,81600.93,1893122.99,6,314,0.2399672399672399,0.0092451173532254,1617.3005077805078,1221,2695315.3378908536,2421964.876098057,2513497.531071803,2774887.4228571425,2790942.6407142854,2588453.9096595985,2661032.206871706,1974723.92
2022-04-11,454,220174.86,2413030.39,9,383,0.2482315112540193,0.0075520310997611,1693.3795819935692,1555,2214921.059296951,2667619.274065371,2657410.903831154,2699784.1628571423,2742955.7957142857,2599641.744744702,2657321.9439945305,2633205.25
2022-04-12,487,213171.99,2841267.92,8,427,0.2408008658008658,0.0075804426453777,1652.8354491341993,1848,2493777.186432317,2721778.1860435805,2727166.963224585,2731833.291428571,2743910.8442857144,2713341.2860585465,2710271.0303819566,3054439.91
2022-04-13,462,181889.76,2556031.12,10,410,0.2536945812807882,0.0073770292897182,1685.9118719211822,1624,2867552.335477439,2766386.6340290536,2819984.2227362823,2715021.4842857146,2708215.057857143,2719486.1845439104,2713957.678461211,2737920.88
2022-04-14,454,233207.94,2602169.24,16,417,0.2479289940828402,0.008015125520815,1677.737976331361,1690,2781131.3651591465,2834210.9393527023,2871044.622282879,2695809.717142857,2689255.112142857,2748458.933407936,2730146.950902919,2835377.18
2022-04-15,463,131564.63,2543052.72,10,412,0.2310012062726176,0.0076297834384153,1613.158835946924,1658,2817295.2417197153,2929402.1662351354,2854647.1218562224,2632214.3928571427,2681666.4678571434,2729998.5375559507,2722743.001908198,2674617.35
2022-04-16,407,123162.05,2324538.58,8,363,0.2484969939879759,0.0086867121015578,1635.0705611222445,1497,2722176.6472399053,2791340.19749009,2784617.337841872,2622569.302857143,2680110.562142857,2659424.060666959,2686070.6761770016,2447700.63
2022-04-17,305,45387.44,1655328.16,7,295,0.2625,0.0094748263888888,1771.57875,960,2539192.635746635,2519134.77166006,2589973.223596723,2583425.257142857,2679156.34,2419746.945500209,2554689.96992914,1700715.6
2022-04-18,523,274889.45,2754876.36,13,416,0.2645348837209302,0.0068185505678745,1761.49175,1720,1980207.9452488783,2557158.26444004,2693419.55934645,2640076.7657142854,2669930.464285714,2572251.6616251618,2618033.427566902,3029765.81
2022-04-19,473,151320.51,2651639.53,13,397,0.2693773824650571,0.0072428552284663,1780.7878271918678,1574,2679913.188416293,2722918.812960027,2718269.823109511,2604151.07,2667992.180714286,2629928.756218873,2642690.3133724346,2802960.04
2022-04-20,520,57178.19,2837168.05,5,372,0.2817848410757946,0.0078064753319265,1769.1602933985332,1636,2761944.422805431,2727919.501973351,2743239.5880051604,2626497.5500000003,2670759.5171428574,2696033.1271641557,2676244.441814661,2894346.24
2022-04-21,482,156033.69,2661292.71,8,406,0.2504537205081669,0.0073938418443212,1704.3716878402904,1653,2850212.3009351436,2763738.727982234,2784443.2174675027,2623918.867142857,2659864.2921428573,2726356.445373117,2695055.371949506,2817326.4
